main,address,added,upped,view_count,hearts,lat,lon,Тип предложения,Серия,Дом,Этаж,Площадь,Отопление,Состояние,Газ,Санузел,Балкон,Входная дверь,Парковка,Высота потолков,Безопасность,Правоустанавливающие документы,Телефон,Интернет,Мебель,Возможность рассрочки,Возможность обмена,Разное,Пол,Возможность ипотеки,Площадь участка,Канализация,Питьевая вода,Электричество,usd_price
"1-комн. кв., 41 м2","Бишкек, Джал-23 м-н (Нижний Джал), Джал-23 мкр, 18",Добавлено 26 дней назад,Поднято 10 часов назад,151,,42.8412,74.5664,от агента,индивид. планировка,"кирпичный, 2025 г.",3 этаж из 14,"41 м2, жилая: 18 м2",,,,,,,,3 м.,,,,,,,,,,нет,,,,,65500
"1-комн. кв., 35 м2","Бишкек, Молодая Гвардия, 35",Добавлено 5 месяцев назад,Поднято 5 часов назад,1047,6.0,42.8824,74.5767,от агента,индивид. планировка,панельный,3 этаж из 9,35 м2,центральное,хорошее,,,,,,,,,,,,,,,,,,,,,59000
"2-комн. кв., 78 м2","Бишкек, Магистраль,  ул. Малдыбаева, 261",Добавлено 2 месяца назад,Поднято 8 часов назад,314,3.0,42.8231,74.5965,от агента,элитка,"монолитный, 2025 г.",4 этаж из 15,78 м2,,под самоотделку (псо),,,,,,,"охрана,                                             видеонаблюдение",договор долевого участия,,,,,,неугловая,,,,,,,78000
"2-комн. кв., 82.1 м2","Бишкек, Магистраль",Добавлено 9 месяцев назад,Поднято 9 часов назад,1747,7.0,42.8181,74.6031,от агента,элитка,монолитный,10 этаж из 12,82.1 м2,на газе,под самоотделку (псо),автономный,совмещенный,балкон,бронированная,рядом охраняемая стоянка,3 м.,,договор долевого участия,возможно подключение,,пустая,,рассмотрю варианты,,паркет,,,,,,90310
"3-комн. кв., 80 м2","Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот) 4б/7/Магистраль",Добавлено 8 месяцев назад,Поднято 12 часов назад,2045,12.0,42.8177,74.6056,от агента,элитка,"монолитный, 2022 г.",3 этаж из 14,80 м2,на газе,евроремонт,нет,2 с/у и более,застекленный балкон,бронированная,паркинг,3 м.,"охрана,                                             домофон,                                             решетки на окнах",,есть,проводной,полностью меблирована,,,,ламинат,,,,,,163000
"2-комн. кв., 72.3 м2","Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",Добавлено 3 месяца назад,Поднято 8 часов назад,345,,42.8353,74.6413,от агента,элитка,"монолитный, 2023 г.",3 этаж из 14,72.3 м2,на газе,под самоотделку (псо),,,,,,3 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,,,,,"неугловая,                                             комнаты изолированы",,,,,,,99500
"1-комн. кв., 52 м2","Бишкек, Средний Джал м-н",Добавлено 28 дней назад,Поднято 7 часов назад,187,1.0,42.8377,74.5673,от агента,108 серия,кирпичный,4 этаж из 9,52 м2,автономное,евроремонт,,,,,,,,технический паспорт,,,,,,,,,,,,,76500
"2-комн. кв., 70 м2","Бишкек, АЮ Grand, Исакеева 18/18",Добавлено 20 дней назад,Поднято 6 дней назад,130,,42.8587,74.6813,от агента,элитка,"монолитный, 2019 г.",9 этаж из 9,70 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,88000
"4-комн. кв., 115 м2","Бишкек, АУЦА, С. Ортосай/Балык Кумара",Добавлено 2 месяца назад,Поднято 15 часов назад,442,,42.8072,74.6115,от агента,элитка,"кирпичный, 2025 г.",4 этаж из 4,115 м2,автономное,под самоотделку (псо),возможно подключение,раздельный,лоджия,бронированная,паркинг,3 м.,"домофон,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",,,проводной,пустая,,,"пластиковые окна,                                             кухня-студия,                                             комнаты изолированы,                                             тихий двор",,,,,,,195500
"4-комн. кв., 173 м2","Бишкек, Старый аэропорт, пр. Чингиза Айтматова 96/1",Добавлено 8 месяцев назад,Поднято 14 часов назад,1968,6.0,42.8386,74.5827,от агента,элитка,"монолитный, 2018 г.",6 этаж из 10,"173 м2, жилая: 115 м2, кухня: 19 м2",центральное,евроремонт,магистральный,2 с/у и более,застекленный балкон,бронированная,,3.2 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж","договор купли-продажи,                                             технический паспорт",,оптика,полностью меблирована,,,"новая сантехника,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             встроенная кухня,                                             тихий двор",,,,,,,495000
"4-комн. кв., 156 м2","Бишкек, Магистраль, Токомбаева-Сухэ-батора",Добавлено 2 месяца назад,Поднято 5 часов назад,367,,42.8191,74.6129,от агента,элитка,"монолитный, 2024 г.",12 этаж из 18,156 м2,,под самоотделку (псо),,,,,,,,"договор купли-продажи,                                             красная книга",,,,,,"пластиковые окна,                                             комнаты изолированы",,,,,,,249600
"2-комн. кв., 73.5 м2","Бишкек, Нижний Токольдош, Кийизбаева 33",Добавлено 11 дней назад,Поднято 6 часов назад,132,,42.8705,74.6294,от агента,элитка,"монолитный, 2022 г.",11 этаж из 12,"73.5 м2, жилая: 73.5 м2",центральное,евроремонт,,раздельный,,,,3.1 м.,домофон,договор долевого участия,,,полностью меблирована,,,"пластиковые окна,                                             тихий двор",,нет,,,,,104500
"1-комн. кв., 46.6 м2","Бишкек, Аламединский рынок",Добавлено 29 дней назад,Поднято 8 часов назад,212,1.0,42.8873,74.6413,от агента,элитка,монолитный,2 этаж из 5,46.6 м2,центральное,под самоотделку (псо),нет,совмещенный,балкон,металлическая,,2.8 м.,,договор долевого участия,,,,нет,обмен не предлагать,,,нет,,,,,48000
"4-комн. кв., 154 м2","Бишкек, АУЦА",Добавлено 2 месяца назад,Поднято 5 часов назад,372,,42.8072,74.6164,от агента,элитка,"монолитный, 2025 г.",13 этаж из 14,"154 м2, кухня: 20 м2",на газе,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,паркинг,3.2 м.,"домофон,                                             сигнализация,                                             видеодомофон,                                             охрана,                                             видеонаблюдение","договор долевого участия,                                             красная книга",есть,adsl,пустая,нет,обмен не предлагать,"улучшенная,                                             новая сантехника,                                             комнаты изолированы",пробковое,нет,,,,,169500
"1-комн. кв., 47.4 м2","Бишкек, Ген прокуратура,  ул. Ташкумырская, 2/2",Добавлено 2 месяца назад,Поднято 16 дней назад,549,4.0,42.8406,74.5892,от собственника,элитка,"кирпичный, 2025 г.",11 этаж из 13,"47.4 м2, жилая: 47.4 м2, кухня: 8 м2",на газе,под самоотделку (псо),автономный,совмещенный,,бронированная,паркинг,3.3 м.,"видеодомофон,                                             домофон,                                             охрана,                                             кодовый замок,                                             видеонаблюдение,                                             консьерж",,,проводной,,,,,,,,,,,78700
"3-комн. кв., 64 м2","Бишкек, Ак Эмир рынок, Московская 64/Шопокова",Добавлено 1 месяц назад,Поднято 9 часов назад,431,7.0,42.8689,74.6159,от собственника,105 серия,панельный,9 этаж из 9,64 м2,центральное,евроремонт,магистральный,2 с/у и более,лоджия,бронированная,,,домофон,"договор купли-продажи,                                             технический паспорт",возможно подключение,оптика,полностью меблирована,,обмен не предлагать,"пластиковые окна,                                             новая сантехника,                                             улучшенная,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             кладовка,                                             тихий двор",ламинат,есть,,,,,98000
"2-комн. кв., 51 м2","Бишкек, Кок-Жар ж/м, Молдокулова, 100",Добавлено 2 месяца назад,Поднято 10 часов назад,220,,42.8525,74.6419,от агента,105 серия,"панельный, 2021 г.",2 этаж из 9,"51 м2, жилая: 31 м2",,,,,,,,2.5 м.,,,,,,,,,,есть,,,,,78000
"3-комн. кв., 108 м2","Бишкек, Московская - Уметалиева, Боконбаева/Калык Акиева",Добавлено 2 месяца назад,Поднято 13 часов назад,440,6.0,42.8677,74.5774,от агента,элитка,"кирпичный, 2020 г.",9 этаж из 14,108 м2,центральное,евроремонт,,раздельный,застекленный балкон,бронированная,,,,договор долевого участия,возможно подключение,,,нет,обмен не предлагать,,,нет,,,,,125000
"3-комн. кв., 97 м2","Бишкек, Джальская больница, Островская 136а/Айни",Добавлено 2 месяца назад,Поднято 5 часов назад,367,1.0,42.8496,74.5755,от агента,элитка,"кирпичный, 2026 г.",9 этаж из 17,97 м2,,под самоотделку (псо),,,,,,,видеонаблюдение,"договор долевого участия,                                             красная книга",,,,,,комнаты изолированы,,,,,,,111550
"2-комн. кв., 82.77 м2","Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",Добавлено 18 дней назад,Поднято 16 часов назад,221,,42.8192,74.6031,от агента,элитка,"монолитный, 2022 г.",12 этаж из 14,82.77 м2,на газе,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,111740
"2-комн. кв., 82 м2","Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",Добавлено 6 дней назад,Поднято 16 часов назад,84,,42.8217,74.6172,от агента,элитка,"монолитный, 2022 г.",8 этаж из 12,82 м2,на газе,под самоотделку (псо),,раздельный,,,,3 м.,,договор долевого участия,,,,нет,обмен не предлагать,,,нет,,,,,90200
"2-комн. кв., 82 м2","Бишкек, Магистраль, Сухэ Батора",Добавлено 14 дней назад,Поднято 51 минуту назад,116,,42.8219,74.6172,от агента,элитка,"кирпичный, 2022 г.",2 этаж из 12,82 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,98500
"1-комн. кв., 42 м2","Бишкек, Молодая Гвардия, М. Сагынбая 290/К. Акиева",Добавлено 1 месяц назад,Поднято 7 часов назад,376,1.0,42.8745,74.577,от агента,элитка,"монолитный, 2021 г.",9 этаж из 9,42 м2,центральное,евроремонт,,,,,,3 м.,,,,,,,,,,,,,,,69000
"2-комн. кв., 53.4 м2","Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",Добавлено 8 часов назад,,38,,42.8551,74.624,от агента,элитка,"монолитный, 2025 г.",8 этаж из 15,53.4 м2,на газе,под самоотделку (псо),,,,,,,,,,,,,,,,,,,,,80000
"3-комн. кв., 98 м2","Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",Добавлено 2 месяца назад,Поднято 5 часов назад,333,1.0,42.8551,74.624,от агента,элитка,"монолитный, 2025 г.",12 этаж из 15,98 м2,на газе,под самоотделку (псо),магистральный,раздельный,лоджия,бронированная,паркинг,3.3 м.,"домофон,                                             сигнализация,                                             видеонаблюдение","договор долевого участия,                                             красная книга",,,,,,"пластиковые окна,                                             кондиционер,                                             неугловая,                                             комнаты изолированы,                                             тихий двор",,,,,,,132300
"4-комн. кв., 182 м2","Бишкек, Джальская больница, Тыналиева 2/21",Добавлено 3 месяца назад,Поднято 16 дней назад,504,,42.845,74.5689,от агента,элитка,"монолитный, 2019 г.",11 этаж из 14,182 м2,центральное,хорошее,магистральный,,застекленный балкон,,паркинг,2.8 м.,,"технический паспорт,                                             красная книга",,,полностью меблирована,,,,,,,,,,350000
"3-комн. кв., 110.6 м2","Бишкек, Магистраль,  ул. А. Малдыбаева 277 (пер. ул. А. Масалиева)",Добавлено 2 месяца назад,Поднято 8 часов назад,253,1.0,42.825,74.5974,от агента,элитка,"монолитный, 2025 г.",6 этаж из 20,110.6 м2,на газе,под самоотделку (псо),,,лоджия,бронированная,паркинг,,"охрана,                                             видеонаблюдение",договор долевого участия,,,,,,"пластиковые окна,                                             тихий двор",,,,,,,132609
"3-комн. кв., 100.13 м2","Бишкек, Магистраль, Куттубаева/Южная Магистраль",Добавлено 14 дней назад,Поднято 7 часов назад,108,,42.8163,74.6224,от агента,элитка,"монолитный, 2022 г.",14 этаж из 14,100.13 м2,на газе,под самоотделку (псо),,,,,,3 м.,,,,,,,,,,,,,,,74000
"4-комн. кв., 136 м2","Бишкек, Ак Эмир рынок, Жоомарта Боконбаева, 61",Добавлено 4 месяца назад,Поднято 11 часов назад,1054,4.0,42.8668,74.6138,от агента,индивид. планировка,"кирпичный, 1983 г.",2 этаж из 5,"136 м2, жилая: 70 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,195000
"1-комн. кв., 40 м2","Бишкек, Ак-Орго ж/м",Добавлено 12 дней назад,Поднято 12 дней назад,109,1.0,42.8448,74.5197,от собственника,элитка,кирпичный,3 этаж из 10,40 м2,,евроремонт,,,,,,,,,,,,,,,,,,,,,57500
"3-комн. кв., 59 м2","Бишкек, Молодая Гвардия/Боконбаева",Добавлено 14 дней назад,Поднято 9 минут назад,395,1.0,42.8694,74.5732,от агента,104 серия улучшенная,панельный,5 этаж из 5,"59 м2, кухня: 6 м2",центральное,евроремонт,магистральный,совмещенный,застекленный балкон,металлическая,,,,"технический паспорт,                                             договор купли-продажи",есть,проводной,частично меблирована,,обмен не предлагать,,линолеум,есть,,,,,82000
"2-комн. кв., 50 м2","Бишкек, Аламедин-1 м-н 64",Добавлено 24 дня назад,Поднято 6 часов назад,306,,42.8779,74.6892,от агента,105 серия улучшенная,панельный,4 этаж из 5,50 м2,центральное,евроремонт,магистральный,раздельный,лоджия,бронированная,,,,"договор купли-продажи,                                             технический паспорт",,проводной,,,,,,,,,,,72000
"2-комн. кв., 74 м2","Бишкек, АЮ Grand, Исакеева 2",Добавлено 25 дней назад,Поднято 11 часов назад,223,3.0,42.8587,74.6817,от агента,элитка,монолитный,1 этаж из 8,74 м2,центральное,евроремонт,магистральный,раздельный,застекленный балкон,бронированная,паркинг,3 м.,,"договор купли-продажи,                                             технический паспорт,                                             красная книга,                                             акт ввода в эксплуатацию",возможно подключение,проводной,полностью меблирована,,обмен не предлагать,,ламинат,есть,,,,,85000
"1-комн. кв., 24.2 м2","Бишкек, КНУ, Профессора Зимы, 32",Добавлено 17 дней назад,Поднято 9 часов назад,220,4.0,42.8876,74.5899,от агента,индивид. планировка,"монолитный, 2015 г.",2 этаж из 3,"24.2 м2, жилая: 21.7 м2",,,,,,,,3.3 м.,,,,,,,,,,нет,,,,,38200
"3-комн. кв., 77 м2","Бишкек, Арча-Бешик ж/м",Добавлено 17 дней назад,Поднято 5 часов назад,208,2.0,42.8276,74.5631,от агента,индивид. планировка,кирпичный,1 этаж из 3,77 м2,на газе,евроремонт,магистральный,совмещенный,,металлическая,паркинг,,домофон,"договор долевого участия,                                             красная книга",возможно подключение,проводной,,нет,обмен не предлагать,"пластиковые окна,                                             новая сантехника,                                             комнаты изолированы,                                             тихий двор",ламинат,нет,,,,,94500
"1-комн. кв., 48.3 м2","Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",Добавлено 9 дней назад,Поднято 12 часов назад,1948,10.0,42.8353,74.6413,от собственника,элитка,"монолитный, 2023 г.",8 этаж из 14,"48.3 м2, жилая: 30 м2, кухня: 11 м2",на газе,евроремонт,магистральный,совмещенный,балкон,металлическая,паркинг,3 м.,"домофон,                                             видеодомофон,                                             охрана,                                             видеонаблюдение",,возможно подключение,adsl,,,,"новая сантехника,                                             кондиционер,                                             неугловая,                                             встроенная кухня,                                             тихий двор",ламинат,,,,,,87000
"1-комн. кв., 42 м2","Бишкек, Магистраль, Б. Баатыра / А. Токомбаева",Добавлено 3 месяца назад,Поднято 15 часов назад,812,10.0,42.8181,74.6031,от агента,элитка,"монолитный, 2024 г.",7 этаж из 12,42 м2,на газе,евроремонт,магистральный,совмещенный,балкон,бронированная,,3 м.,,"договор долевого участия,                                             красная книга",,,частично меблирована,,,,,,,,,,67500
"3-комн. кв., 70 м2","Бишкек, Тунгуч м-н, микрорайон Тунгуч, 36",Добавлено 1 год назад,Поднято 13 часов назад,2573,8.0,42.8546,74.6865,от агента,106 серия,"панельный, 1990 г.",5 этаж из 5,"70 м2, жилая: 45 м2",,,,,,,,3 м.,,,,,,,,,,есть,,,,,82000
"2-комн. кв., 53 м2","Бишкек, Магистраль, Аалы Токомбаева 15/7 2 блок/Южн. Магистраль",Добавлено 26 дней назад,Поднято 26 дней назад,282,1.0,42.8118,74.6217,от собственника,элитка,"кирпичный, 2024 г.",4 этаж из 10,"53 м2, жилая: 53 м2",на газе,хорошее,автономный,раздельный,нет,бронированная,рядом охраняемая стоянка,3 м.,охрана,договор долевого участия,нет,,частично меблирована,,обмен не предлагать,"кухня-студия,                                             встроенная кухня",ламинат,,,,,,85000
"1-комн. кв., 50 м2","Бишкек, Кок-Жар ж/м, Молдокулова/Медерова",Добавлено 5 дней назад,Поднято 14 часов назад,101,,42.8517,74.6416,от агента,108 серия,"панельный, 2021 г.",8 этаж из 9,"50 м2, кухня: 16 м2",электрическое,евроремонт,магистральный,совмещенный,застекленный балкон,,рядом охраняемая стоянка,2.8 м.,,,,,частично меблирована,,,,,,,,,,73000
"2-комн. кв., 44 м2","Бишкек, 3 м-н, Ахунбаева/Алматинка",Добавлено 2 месяца назад,Поднято 1 час назад,1351,9.0,42.8402,74.6162,от агента,элитка,кирпичный,4 этаж из 9,44 м2,,евроремонт,,,балкон,,,,,,,,пустая,есть,,"пластиковые окна,                                             новая сантехника",ламинат,,,,,,75000
"3-комн. кв., 80 м2","Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",Добавлено 2 месяца назад,Поднято 5 часов назад,486,1.0,42.8172,74.6058,от агента,элитка,"монолитный, 2022 г.",2 этаж из 9,80 м2,центральное,евроремонт,магистральный,совмещенный,,бронированная,,3 м.,"домофон,                                             видеодомофон",договор долевого участия,,adsl,полностью меблирована,,,"пластиковые окна,                                             новая сантехника",,,,,,,167000
"1-комн. кв., 48 м2","Бишкек, АЮ Grand, мкр. Тунгуч",Добавлено 3 месяца назад,Поднято 6 часов назад,659,2.0,42.8541,74.6777,от агента,элитка,"монолитный, 2023 г.",12 этаж из 13,48 м2,центральное,под самоотделку (псо),,,,,,3 м.,,"договор долевого участия,                                             красная книга",,,,,,,,,,,,,50000
"2-комн. кв., 67 м2","Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",Добавлено 3 месяца назад,Поднято 13 часов назад,454,2.0,42.8581,74.6338,от агента,элитка,"монолитный, 2025 г.",12 этаж из 14,"67 м2, кухня: 13 м2",центральное,под самоотделку (псо),,,,,,,,договор долевого участия,,,,,,,,,,,,,60000
"2-комн. кв., 64 м2","Бишкек, Магистраль,  ул. Куттубаева, 15",Добавлено 5 дней назад,Поднято 3 дня назад,1980,4.0,42.8138,74.6191,от собственника,элитка,"монолитный, 2023 г.",3 этаж из 12,64 м2,на газе,евроремонт,,,,,,3 м.,,,,,полностью меблирована,,,,,,,,,,110000
